,AT,BG,ES,FI,FR,GR,HR,IT,LT,LV,ME,MK,NO,PT,RO,RS,SE,SI
2014-12-28 00:00:00+00:00,,2056910.0,11822819.0,3455000.0,2737368.0,,1000110.0,,9376.0,10114.0,555.0,,55533000.0,,1799900.0,,19854000.0,2600.0
2015-01-04 00:00:00+00:00,1019454.0,1970971.0,11646669.0,3406000.0,2648112.0,,952270.0,4089547.0,9357.0,10179.0,255695.0,,53780000.0,2060343.0,1721600.0,,19180000.0,2600.0
2015-01-11 00:00:00+00:00,996580.0,1921031.0,11517257.0,3324000.0,2622624.0,,918570.0,3995003.0,10615.0,9413.0,236741.0,,51907000.0,1970600.0,1658700.0,,18458000.0,2600.0
2015-01-18 00:00:00+00:00,901223.0,1923410.0,11530991.0,3209000.0,2456362.0,,1002390.0,3819341.0,9136.0,8498.0,310731.0,,49084000.0,1923543.0,1638400.0,,17283000.0,2600.0
2015-01-25 00:00:00+00:00,826717.0,1987682.0,11702803.0,3127000.0,2289749.0,,1085170.0,3677635.0,10351.0,8620.0,326837.0,,46803000.0,1911900.0,1600700.0,,16448000.0,2600.0
2015-02-01 00:00:00+00:00,756969.0,2040314.0,11955294.0,2986000.0,2121193.0,,1161580.0,3597316.0,9722.0,8917.0,336913.0,,44087000.0,1937971.0,1549300.0,,15350000.0,2600.0
2015-02-08 00:00:00+00:00,700708.0,2037570.0,12089415.0,2818000.0,1832396.0,,1144610.0,3443124.0,9217.0,7572.0,228170.0,,42114000.0,2033514.0,1476800.0,,14769000.0,2600.0
2015-02-15 00:00:00+00:00,639712.0,2002016.0,12208680.0,2664000.0,1642339.0,,1122470.0,3238967.0,9268.0,8051.0,289156.0,,40447000.0,2016329.0,1405400.0,,13946000.0,2600.0
2015-02-22 00:00:00+00:00,593897.0,2010502.0,12379117.0,2543000.0,1498497.0,,1235590.0,3122172.0,9623.0,9841.0,311510.0,,38639000.0,2051386.0,1341600.0,,13062000.0,2600.0
2015-03-01 00:00:00+00:00,571460.0,2015503.0,12653460.0,2433000.0,1632116.0,,1247290.0,3032929.0,11919.0,9019.0,321157.0,,36967000.0,2068886.0,1316200.0,,12118000.0,2600.0
2015-03-08 00:00:00+00:00,547116.0,1972187.0,12812422.0,2344000.0,1314307.0,,1233900.0,2967385.0,10964.0,8149.0,312066.0,,35389000.0,2080386.0,1258300.0,,11178000.0,2600.0
2015-03-15 00:00:00+00:00,502729.0,1917192.0,12471119.0,2241000.0,1211849.0,,1190850.0,2886573.0,10644.0,7582.0,303447.0,,33219000.0,2066971.0,1218900.0,,10133000.0,2600.0
2015-03-22 00:00:00+00:00,461525.0,1919663.0,12746394.0,2141000.0,1111858.0,,1210810.0,2825301.0,7955.0,4700.0,318195.0,,31043000.0,2033314.0,1217800.0,,9256000.0,2600.0
2015-03-29 00:00:00+00:00,434975.0,1949647.0,12966701.0,2065000.0,1112498.0,,1207540.0,2920310.0,7585.0,5169.0,323267.0,,29108000.0,4038929.0,1280500.0,,8432000.0,2600.0
2015-04-05 00:00:00+00:00,409701.0,1929052.0,12820365.0,2044000.0,1120162.0,,1153590.0,2909423.0,9327.0,5848.0,317184.0,,27718000.0,1976443.0,1259600.0,,7944000.0,2600.0
2015-04-12 00:00:00+00:00,404410.0,1942343.0,12215143.0,2138000.0,1134908.0,,1008110.0,2841242.0,9490.0,6083.0,336838.0,,26492000.0,1952686.0,1330000.0,,7650000.0,2600.0
2015-04-19 00:00:00+00:00,393227.0,1939855.0,12242778.0,2328000.0,1191820.0,,1112620.0,2813414.0,10536.0,3199.0,354984.0,,26026000.0,1945071.0,1411900.0,,7991000.0,2600.0
2015-04-26 00:00:00+00:00,367209.0,1981652.0,13229237.0,2539000.0,1254809.0,,1093640.0,2814636.0,6443.0,2711.0,379477.0,,24829000.0,1979643.0,1580900.0,,8165000.0,2600.0
2015-05-03 00:00:00+00:00,412213.0,2088415.0,13438359.0,3010000.0,1518660.0,,1070810.0,2878991.0,9960.0,3175.0,385073.0,,25457000.0,2085414.0,1759300.0,,9568000.0,2600.0
2015-05-10 00:00:00+00:00,502374.0,2143595.0,13371999.0,3929000.0,1720675.0,,1036350.0,3060152.0,10363.0,2719.0,381712.0,,27086000.0,2113114.0,1833200.0,,11564000.0,2600.0
2015-05-17 00:00:00+00:00,571841.0,2208288.0,13139344.0,4227000.0,1917460.0,,1017460.0,3360977.0,7878.0,3263.0,387583.0,,27913000.0,2107100.0,1852400.0,,13216000.0,2600.0
2015-05-24 00:00:00+00:00,579440.0,2240914.0,12973505.0,4378000.0,1916174.0,,988680.0,3534460.0,7907.0,2975.0,393186.0,,29475000.0,2072543.0,1875400.0,,15687000.0,2600.0
2015-05-31 00:00:00+00:00,676265.0,2237831.0,12640709.0,4441000.0,2052323.0,,954220.0,3566479.0,9002.0,2412.0,393691.0,,32335000.0,2039143.0,1882400.0,,18867000.0,2600.0
2015-06-07 00:00:00+00:00,797835.0,2213308.0,12387195.0,4439000.0,2229232.0,,924120.0,3847809.0,9483.0,2518.0,387615.0,,35345000.0,2000714.0,1858900.0,,20434000.0,2600.0
2015-06-14 00:00:00+00:00,906370.0,2173502.0,12104154.0,4472000.0,2405020.0,,924120.0,4124111.0,8745.0,4044.0,387186.0,,37853000.0,1985386.0,1854300.0,,21232000.0,2600.0
2015-06-21 00:00:00+00:00,943975.0,2152535.0,12111641.0,4512000.0,2498453.0,,852120.0,4271559.0,8241.0,4996.0,388621.0,,41611000.0,1945757.0,1866000.0,,23010000.0,2600.0
2015-06-28 00:00:00+00:00,980300.0,2110752.0,11833445.0,4505000.0,2492731.0,,811450.0,4295064.0,8825.0,7927.0,381349.0,,47242000.0,1910143.0,1904100.0,,24601000.0,2600.0
2015-07-05 00:00:00+00:00,1067215.0,2042117.0,11469927.0,4464000.0,2532015.0,,772390.0,4357503.0,10362.0,8179.0,355391.0,,54074000.0,1880486.0,1883800.0,,26647000.0,2600.0
2015-07-12 00:00:00+00:00,1144892.0,1970978.0,11073847.0,4375000.0,2555627.0,,723210.0,4348769.0,8297.0,8019.0,321236.0,,57693000.0,1848357.0,1850800.0,,27690000.0,2600.0
2015-07-19 00:00:00+00:00,1223703.0,1856417.0,10735752.0,4359000.0,2543616.0,,678930.0,4236126.0,7941.0,8572.0,274243.0,,60958000.0,1820629.0,1794600.0,,28659000.0,2600.0
2015-07-26 00:00:00+00:00,1366889.0,1751765.0,10119042.0,4453000.0,2573500.0,,648130.0,4097836.0,8581.0,8503.0,268644.0,,63654000.0,1787914.0,1751100.0,,30191000.0,2600.0
2015-08-02 00:00:00+00:00,1462726.0,1719408.0,10237140.0,4437000.0,2610486.0,,622000.0,4003679.0,7814.0,7430.0,265128.0,,66488000.0,1755443.0,1703800.0,,30449000.0,
2015-08-09 00:00:00+00:00,1473223.0,1650611.0,9992493.0,4382000.0,2638154.0,,597360.0,3984800.0,7060.0,6651.0,250865.0,,68749000.0,1729729.0,1626200.0,,30435000.0,2600.0
2015-08-16 00:00:00+00:00,1478931.0,1613175.0,9784539.0,4228000.0,2683473.0,,575230.0,4061448.0,7837.0,8287.0,249450.0,,70520000.0,1703971.0,1639800.0,,30033000.0,2600.0
2015-08-23 00:00:00+00:00,1511025.0,1563909.0,9598408.0,4152000.0,2707234.0,,541500.0,4117710.0,6902.0,8331.0,243362.0,,73339000.0,1692400.0,1572800.0,,30003000.0,2600.0
